Feature,Importance
Absences,0.3337792642140468
StudyTimeWeekly,0.03678929765886285
ParentalSupport,0.029765886287625398
Tutoring,0.027759197324414696
Extracurricular,0.010702341137123738
Sports,0.005852842809364545
ParentalEducation,0.00418060200668896
Music,0.004013377926421402
